Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,1678.54,277.49,13000.00,2,0,1,0,1,0,0,0,1,0.0,108
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,549969.15,145389.23,308500.00,1793,0,2000,0,1585,0,135,0,13,0.7331179937538669,1332
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,224272.10,113754.37,1342500.00,1699,0,492,0,2993,0,618,0,45,0.6101686764847843,6936
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,109492.84,145339.60,17340000.00,1989,408,0,1240,1079,48,997,53,31,0.880603527920345,10260
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,84642.76,72724.44,9360000.00,1033,0,196,0,961,0,606,0,21,0.9107714414181913,5244
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,92392.65,82180.00,13254400.00,1352,138,0,508,1191,63,784,22,23,0.9228822079815089,7068
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,61906.03,46020.00,9678000.00,840,119,0,242,1071,35,570,31,23,0.9456540109140034,4872
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,79934.89,51240.00,11449200.00,1016,215,0,392,1003,77,629,45,24,0.9255034875939124,5520
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,38359.64,17050.00,11638000.00,429,779,0,464,190,1292,497,44,20,0.9396014682565141,5340
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,1625019.84,0.00,0,1406,0,803,0,1070,0,605,13,1.4075491579543058,3780
